DRR001152_1215	ref_2b9bda8f69154c8e	35.6	132	516	141	15	140	6.60e-23	83.2
DRR001152_2889	ref_2b9bda8f69154c8e	50.8	132	504	141	10	141	4.65e-42	132
DRR001152_4955	ref_d765a4c36c6fc308	31.3	67	1307	297	148	211	2.87e-06	42.4
DRR001152_5506	ref_fe3da7595d12a872	30.6	193	919	1047	837	1014	4.69e-24	96.3
DRR001152_6127	ref_fe3da7595d12a872	35.4	48	439	1047	958	1005	7.96e-07	41.2
DRR001152_7693	ref_a1e3671a8fb81e5e	50.0	44	261	467	364	407	2.13e-11	52.0
DRR001026_31	ref_a1e3671a8fb81e5e	37.9	195	787	467	277	465	4.46e-38	133
DRR001026_1534	ref_a1e3671a8fb81e5e	37.7	223	919	467	246	466	3.91e-37	132
DRR001026_2722	ref_a1e3671a8fb81e5e	32.7	339	1081	467	77	407	1.67e-43	150
DRR001026_3073	ref_fe3da7595d12a872	32.1	106	433	1047	640	741	7.54e-09	47.0
DRR001026_4670	ref_27ec77fe72a54afa	56.5	46	217	493	148	193	2.67e-10	48.1
DRR001026_4670	ref_ceab963bc143f2f9	56.5	46	217	493	148	193	2.67e-10	48.1
DRR001026_4712	ref_27ec77fe72a54afa	51.9	79	241	493	106	184	4.00e-19	73.6
DRR001026_4712	ref_ceab963bc143f2f9	50.6	79	241	493	106	184	1.40e-18	72.0
DRR001026_8035	ref_e927839e1774e7e0	60.4	48	161	269	156	203	5.58e-19	70.9
DRR001104_16240	ref_a8281945ad1373c0	67.2	64	227	553	482	545	1.78e-24	88.6
DRR000185_83	ref_1b1894af8daf2c15	32.7	419	2024	428	43	387	2.11e-65	216
DRR000185_238	ref_f4f65a9a0931564b	32.8	259	3128	386	53	298	1.00e-26	107
DRR000185_264	ref_ae31b49d2c9cff68	37.4	257	2563	260	9	259	3.33e-45	157
DRR000185_288	ref_9860f49cffeb6842	26.8	112	9895	305	20	129	1.16e-09	56.2
DRR000185_328	ref_593a4fc19ba43d3f	43.9	246	1414	379	109	341	2.44e-58	191
DRR000185_328	ref_83d3db437baac3b7	43.2	243	1414	269	4	228	1.27e-53	175
DRR000185_328	ref_636fdedc2969e720	43.2	243	1414	269	4	228	1.77e-53	175
DRR000185_328	ref_f2f1eaf3dae2a981	32.2	276	1414	384	102	343	7.57e-27	105
DRR000185_386	ref_a1e3671a8fb81e5e	36.3	474	3558	467	1	466	1.85e-89	291
DRR000185_444	ref_a1e3671a8fb81e5e	29.1	375	4033	467	98	467	1.30e-32	127
DRR000185_466	ref_ae31b49d2c9cff68	36.1	166	5209	260	6	167	4.81e-24	97.4
DRR000185_484	ref_a1e3671a8fb81e5e	32.2	472	3069	467	2	457	3.29e-57	199
DRR000185_489	ref_a1e3671a8fb81e5e	39.3	468	2987	467	7	466	4.32e-101	319
DRR000185_616	ref_636fdedc2969e720	46.8	269	1165	269	6	269	2.02e-73	224
DRR000185_616	ref_83d3db437baac3b7	46.5	269	1165	269	6	269	4.03e-73	223
DRR000185_616	ref_593a4fc19ba43d3f	40.8	358	1165	379	36	379	7.35e-72	224
DRR000185_616	ref_f2f1eaf3dae2a981	35.8	332	1165	384	36	346	1.02e-40	142
DRR000185_689	ref_ceab963bc143f2f9	28.3	484	3030	493	21	473	2.24e-31	123
DRR000185_689	ref_27ec77fe72a54afa	28.0	482	3030	493	21	473	7.19e-31	121
DRR000185_739	ref_a1e3671a8fb81e5e	31.9	477	2596	467	7	466	2.25e-71	237
DRR000185_921	ref_9860f49cffeb6842	95.8	260	2968	305	1	260	1.06e-173	502
DRR000185_993	ref_9f8c70fae9ab6aca	31.7	120	923	305	4	123	2.20e-08	48.1
DRR000185_1066	ref_a1e3671a8fb81e5e	30.2	434	1418	467	48	466	1.01e-57	192
DRR000185_1467	ref_067339e228f8479f	59.4	234	689	402	17	246	1.49e-100	292
DRR000185_1467	ref_1f9b512005633c3b	60.0	235	689	420	76	300	2.90e-91	269
DRR000185_1467	ref_cb7a7743d531860f	56.2	235	689	419	37	267	1.32e-86	257
DRR000185_1467	ref_78f76ae33a6754f4	55.7	235	689	431	47	277	1.48e-85	254
DRR000185_1467	ref_e56076c6bc1713b1	47.5	238	689	432	12	245	4.31e-73	223
DRR000185_1492	ref_a8c1e792f54a7de0	31.0	87	1111	337	81	167	2.58e-12	60.8
DRR000185_1492	ref_b5e399a7f42abb6f	33.7	95	1111	305	88	181	9.77e-07	43.5
DRR000185_1516	ref_9f8c70fae9ab6aca	31.7	202	917	305	97	291	8.16e-19	79.0
DRR000185_1710	ref_9860f49cffeb6842	92.5	53	1964	305	253	305	8.41e-29	110
DRR000185_1800	ref_ae31b49d2c9cff68	30.9	256	1964	260	11	256	1.28e-31	117
DRR000185_2238	ref_7364c548f354a5c0	34.1	88	489	414	63	143	3.59e-10	51.2
DRR000185_2238	ref_fa1b501b08945e39	23.8	122	489	383	5	126	1.55e-07	43.5
